Timestamp,DeviceName,AccountName,ActionType,RemoteIP,RemotePort,RemoteUrl,InitiatingProcessCommandLine,InitiatingProcessSHA256
2 Jul 2025 11:15:42 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.48.203.111,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:15:43 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,52.182.143.210,443,browser.pipe.aria.microsoft.com,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:15:47 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,13.107.136.254,443,spo-ring.msedge.net,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:15:47 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,13.107.6.254,443,b-ring.msedge.net,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:17:56 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.4.13,443,client.dropbox.com,"""DropboxUpdate.exe"" /ping PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48cmVxdWVzdCBkcm9wYm94X2RhdGE9ImV5Sm1hWGhsWkY5aWRXbHNaQ0k2SWpJeU55NDBMalEzTnpRaUxDSmlkV2xzWkY5cFpDSTZJbTFoYVc0aUxDSlVRVWRUSWpvaVpVcDVjbFpwY0U5TVV6ZFBlazB0VEhvd2VGSnpiRWwzVGtSRk1ITlVVWGhPVkVGNVRXcE5kM05xUTNsT1JGRkhRV2xOVkVreVRreFZlazluYVVwdGFHOVpiWEJwV1VaQ1RGRkRiVGhCTW1KQVRVVlVRU0o5IiBwcm90b2NvbD0iMy4wIiB2ZXJzaW9uPSIxLjMuOTgzLjEiIGlzbWFjaGluZT0iMSIgc2Vzc2lvbmlkPSJ7MjMyODk4MTYtNzFGRi00REY5LThBRDctMEVCNkFGRkExMTExfSIgdXNlcmlkPSJ7RkM1QkIzQTQtQzUzQy00Nzg5LUJGMzUtQUM5QUMyM0MwQTU4fSIgaW5zdGFsbHNvdXJjZT0ib3RoZXJpbnN0YWxsY21kIiByZXF1ZXN0aWQ9Ins2ODE1MEQ1Mi1GMTQ3LTQ0OEQtOUI1MS1DNjBCQUU4NkMxMEV9Ij48b3MgcGxhdGZvcm09IndpbiIgdmVyc2lvbj0iMTAuMC4xOTA0NS41OTY1IiBzcD0iIiBhcmNoPSJ4NjQiLz48YXBwIGFwcGlkPSJ7RDg5NjhGRjItRTBCMS00QTEzLUEzRTItQzlGMjk5NUYzQkM2fSIgdmVyc2lvbj0iIiBuZXh0dmVyc2lvbj0iMS4zLjk4My4xIiBsYW5nPSIiIGJyYW5kPSIiIGNsaWVudD0iIj48ZXZlbnQgZXZlbnR0eXBlPSIyIiBldmVudHJlc3VsdD0iMSIgZXJyb3Jjb2RlPSIwIiBleHRyYWNvZGUxPSIwIi8-PC9hcHA-PC9yZXF1ZXN0Pg",7655221b493047c61285e1de78807d0584920b0d14d150e2487da9728b1926f3
2 Jul 2025 11:17:56 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.33.192.6,80,ocsp.digicert.com,"""DropboxUpdate.exe"" /ping PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48cmVxdWVzdCBkcm9wYm94X2RhdGE9ImV5Sm1hWGhsWkY5aWRXbHNaQ0k2SWpJeU55NDBMalEzTnpRaUxDSmlkV2xzWkY5cFpDSTZJbTFoYVc0aUxDSlVRVWRUSWpvaVpVcDVjbFpwY0U5TVV6ZFBlazB0VEhvd2VGSnpiRWwzVGtSRk1ITlVVWGhPVkVGNVRXcE5kM05xUTNsT1JGRkhRV2xOVkVreVRreFZlazluYVVwdGFHOVpiWEJwV1VaQ1RGRkRiVGhCTW1KQVRVVlVRU0o5IiBwcm90b2NvbD0iMy4wIiB2ZXJzaW9uPSIxLjMuOTgzLjEiIGlzbWFjaGluZT0iMSIgc2Vzc2lvbmlkPSJ7MjMyODk4MTYtNzFGRi00REY5LThBRDctMEVCNkFGRkExMTExfSIgdXNlcmlkPSJ7RkM1QkIzQTQtQzUzQy00Nzg5LUJGMzUtQUM5QUMyM0MwQTU4fSIgaW5zdGFsbHNvdXJjZT0ib3RoZXJpbnN0YWxsY21kIiByZXF1ZXN0aWQ9Ins2ODE1MEQ1Mi1GMTQ3LTQ0OEQtOUI1MS1DNjBCQUU4NkMxMEV9Ij48b3MgcGxhdGZvcm09IndpbiIgdmVyc2lvbj0iMTAuMC4xOTA0NS41OTY1IiBzcD0iIiBhcmNoPSJ4NjQiLz48YXBwIGFwcGlkPSJ7RDg5NjhGRjItRTBCMS00QTEzLUEzRTItQzlGMjk5NUYzQkM2fSIgdmVyc2lvbj0iIiBuZXh0dmVyc2lvbj0iMS4zLjk4My4xIiBsYW5nPSIiIGJyYW5kPSIiIGNsaWVudD0iIj48ZXZlbnQgZXZlbnR0eXBlPSIyIiBldmVudHJlc3VsdD0iMSIgZXJyb3Jjb2RlPSIwIiBleHRyYWNvZGUxPSIwIi8-PC9hcHA-PC9yZXF1ZXN0Pg",7655221b493047c61285e1de78807d0584920b0d14d150e2487da9728b1926f3
2 Jul 2025 11:20:53 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,52.108.8.254,443,wac-ring.msedge.net,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:22:09 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.20,443,,"""DropboxClient_227.4.4774.x64.exe"" /S /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsIm9tYWhhLWluc3RhbGxlci1pZCI6IntGQzVCQjNBNC1DNTNDLTQ3ODktQkYzNS1BQzlBQzIzQzBBNTh9IiwicmVxdWVzdF9zZXF1ZW5jZSI6MH0 /InstallType:MACHINE",7f1cba72d3d8959557de69d931311bb6e243feeab7d8a69a1b42e97f4a50dd9a
2 Jul 2025 11:22:19 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.20,443,,"""Dropbox.exe"" -type:exit-monitor -method:collectupload -session-token:********** -target-handle:696 -target-shutdown-event:680 -target-restart-event:684 ""-target-command-line:\""C:\Program Files (x86)\Dropbox\Client\Dropbox.exe\"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9"" -python-version:3.8.17 -process-type:main -handler-pipe:\\.\pipe\crashpad_292_HHFBKDMEUSUUSKAN",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:22:20 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.20,443,https://d.dropbox.com,"""Dropbox.exe"" -type:exit-monitor -method:collectupload -session-token:********** -target-handle:696 -target-shutdown-event:680 -target-restart-event:684 ""-target-command-line:\""C:\Program Files (x86)\Dropbox\Client\Dropbox.exe\"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9"" -python-version:3.8.17 -process-type:main -handler-pipe:\\.\pipe\crashpad_292_HHFBKDMEUSUUSKAN",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:23:13 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.19,443,,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:23:13 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.19,443,https://api.dropbox.com,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:23:19 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.48.203.174,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:23:19 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,20.140.56.69,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:23:23 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.48.203.164,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:23:34 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,150.171.22.254,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:24:12 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.13,443,,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:24:12 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.13,443,https://client.dropbox.com,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:24:13 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:24:53 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,4.150.241.254,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:24:54 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,131.253.33.254,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:24:55 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,20.17.11.191,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:25:17 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""Dropbox.exe"" /install /InstallType:MACHINE /InstallDir:""C:\Program Files (x86)\Dropbox\Client"" /KillEveryone:YES /IsAutoUpdate:  /InstallerData:",f4cf4f8600000000000000000000000000000000000000083db382f97f0000ff
2 Jul 2025 11:25:27 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""DropboxClient_227.4.4774.x64.exe"" /S /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsIm9tYWhhLWluc3RhbGxlci1pZCI6IntGQzVCQjNBNC1DNTNDLTQ3ODktQkYzNS1BQzlBQzIzQzBBNTh9IiwicmVxdWVzdF9zZXF1ZW5jZSI6MX0 /InstallType:MACHINE",7f1cba72d3d8959557de69d931311bb6e243feeab7d8a69a1b42e97f4a50dd9a
2 Jul 2025 11:25:27 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,https://d.dropbox.com,"""DropboxClient_227.4.4774.x64.exe"" /S /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsIm9tYWhhLWluc3RhbGxlci1pZCI6IntGQzVCQjNBNC1DNTNDLTQ3ODktQkYzNS1BQzlBQzIzQzBBNTh9IiwicmVxdWVzdF9zZXF1ZW5jZSI6MX0 /InstallType:MACHINE",7f1cba72d3d8959557de69d931311bb6e243feeab7d8a69a1b42e97f4a50dd9a
2 Jul 2025 11:25:58 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.4.18,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:25:59 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,4.153.57.10,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:00 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,3.171.100.73,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.16,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,20.96.153.111,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,172.253.63.84,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,64.233.180.94,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,142.251.163.84,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:02 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,18.160.46.54,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:03 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,18.160.54.154,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,151.101.44.157,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,150.171.22.12,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,142.251.167.97,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,172.66.0.227,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,146.75.29.140,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.214.230.77,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,3.171.76.20,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,142.251.16.97,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,151.101.45.140,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
